Designator,Mid X,Mid Y,Rotation,Layer
C1,144.5,-95.25,270.0,bottom
C10,148.9,-88.75,270.0,bottom
C11,148.9,-75.4,90.0,bottom
C14,154.65,-77.6375,180.0,bottom
C15,154.85,-85.2375,180.0,bottom
C2,142.3,-95.2,270.0,bottom
C3,148.0,-97.0,180.0,bottom
C4,140.6,-80.5375,0.0,bottom
C5,140.6,-83.6375,0.0,bottom
C6,140.6,-82.0875,0.0,bottom
C7,140.6,-85.1875,0.0,bottom
C8,145.2,-75.15,90.0,bottom
C9,140.6,-86.8,0.0,bottom
H1,143.0,-62.0,0.0,top
H2,153.0,-62.0,0.0,top
H3,142.0,-129.0,0.0,top
H4,154.0,-129.0,0.0,top
R1,144.5,-91.7,90.0,bottom
R2,154.85,-83.5875,180.0,bottom
U2,148.25,-121.05,90.0,bottom
U3,148.0,-94.0,180.0,bottom
U4,148.15,-70.35,90.0,bottom
U5,147.85,-81.3,0.0,bottom
Y1,154.9,-80.6375,270.0,bottom
